Negative,Neutral,Positive
0.2582943,0.45127246,0.2904333
0.2582943,0.45127246,0.2904333
0.0202952,0.5805375,0.39916733
0.2582943,0.45127246,0.2904333
0.10875621,0.77067685,0.12056692
0.07225715,0.81014717,0.11759575
0.0943461,0.75037056,0.15528335
0.26401395,0.6446246,0.09136145
0.08204834,0.7728083,0.14514329
0.2582943,0.45127246,0.2904333
0.023677021,0.75670004,0.21962297
0.006102364,0.5595189,0.4343787
0.43028003,0.53715277,0.0325672
0.02184087,0.7552249,0.22293425
0.009658981,0.47567222,0.5146688
0.10303783,0.8104057,0.086556494
0.021252686,0.6533456,0.32540175
0.23404354,0.6952069,0.070749566
0.016125679,0.45600063,0.5278737
0.19814862,0.66824794,0.1336034
0.22235942,0.6335176,0.144123
0.19753651,0.74587196,0.05659153
0.027009284,0.39160082,0.58138996
0.00736876,0.83264816,0.15998311
0.47582138,0.48227078,0.04190783
0.2582943,0.45127246,0.2904333
0.016102865,0.50852525,0.47537187
0.2582943,0.45127246,0.2904333
0.0101853935,0.25211966,0.7376949
0.2582943,0.45127246,0.2904333
0.38543212,0.5179783,0.09658951
0.2582943,0.45127246,0.2904333
0.2582943,0.45127246,0.2904333
0.57713073,0.4005642,0.022305058
0.2582943,0.45127246,0.2904333
0.016019287,0.7128808,0.27109998
0.01976468,0.54932034,0.43091506
0.77941597,0.20476843,0.015815534
0.10874928,0.79572153,0.09552914
0.2582943,0.45127246,0.2904333
0.36064017,0.6076359,0.031723958
0.21521379,0.68946767,0.09531848
0.46240214,0.46269926,0.07489861
0.15216652,0.68703175,0.16080175
0.0028730845,0.09805536,0.8990715
0.2582943,0.45127246,0.2904333
0.2582943,0.45127246,0.2904333
0.2467684,0.67251307,0.08071848
0.2582943,0.45127246,0.2904333
0.05338538,0.76617575,0.18043885
0.0030279253,0.23424567,0.76272637
0.068287805,0.5879109,0.3438013
0.032506287,0.55102473,0.416469
0.261907,0.6770384,0.061054587
0.19091436,0.70195735,0.107128255
0.0068308064,0.27626562,0.7169036
0.21086979,0.6935905,0.09553963
0.0528084,0.6712189,0.27597275
0.23851097,0.68328637,0.078202635
0.2582943,0.45127246,0.2904333
0.2582943,0.45127246,0.2904333
0.59322774,0.3795022,0.02727008
0.0041697263,0.36578128,0.630049
0.5108441,0.43754253,0.05161338
0.44758555,0.5102689,0.042145494
0.004211325,0.42859414,0.56719446
0.05667573,0.712958,0.23036633
0.2582943,0.45127246,0.2904333
0.011507305,0.64477295,0.34371972
0.46761063,0.5051722,0.02721714
0.20464738,0.6995625,0.09579009
0.008393886,0.7078203,0.28378576
0.2582943,0.45127246,0.2904333
0.2582943,0.45127246,0.2904333
0.44713792,0.53033376,0.02252833
0.2582943,0.45127246,0.2904333
0.2582943,0.45127246,0.2904333
0.2582943,0.45127246,0.2904333
0.087767884,0.74082446,0.17140764
0.2582943,0.45127246,0.2904333
0.14069125,0.7431868,0.11612199
0.2582943,0.45127246,0.2904333
0.24595085,0.68661934,0.06742973
0.053535152,0.7935927,0.15287222
0.31844962,0.60450435,0.07704599
0.010835967,0.40169248,0.58747154
